id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,tahun,jumlah_kasus,jumlah_kasus_meninggal_laki,jumlah_kasus_meninggal_perempuan
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2014,2850,9,20
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2014,720,6,2
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2014,650,2,1
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2014,2980,2,2
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2014,480,0,0
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2014,390,1,2
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2014,610,4,0
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2014,1420,1,2
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,2014,1560,15,11
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2014,280,1,1
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2014,780,3,4
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2014,750,6,11
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,2014,580,1,7
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2014,640,0,0
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2014,890,0,7
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,2014,1480,3,1
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2014,1280,3,2
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2014,115,0,1
19,32,JAWA BARAT,3271,KOTA BOGOR,2014,980,4,3
20,32,JAWA BARAT,3272,KOTA SUKABUMI,2014,690,2,4
21,32,JAWA BARAT,3273,KOTA BANDUNG,2014,3250,2,7
22,32,JAWA BARAT,3274,KOTA CIREBON,2014,260,5,2
23,32,JAWA BARAT,3275,KOTA BEKASI,2014,3120,8,8
24,32,JAWA BARAT,3276,KOTA DEPOK,2014,2320,2,2
25,32,JAWA BARAT,3277,KOTA CIMAHI,2014,890,0,0
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2014,620,6,0
27,32,JAWA BARAT,3279,KOTA BANJAR,2014,305,1,1
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,2015,3120,0,0
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2015,780,1,1
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2015,710,1,1
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2015,3280,0,0
32,32,JAWA BARAT,3205,KABUPATEN GARUT,2015,520,0,0
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2015,430,0,0
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2015,680,0,0
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2015,1550,3,0
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,2015,1720,19,23
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2015,300,1,1
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2015,860,3,0
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2015,820,13,20
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,2015,640,3,6
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2015,700,0,0
42,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2015,950,2,2
43,32,JAWA BARAT,3216,KABUPATEN BEKASI,2015,1620,3,3
44,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2015,1420,1,0
45,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2015,125,0,0
46,32,JAWA BARAT,3271,KOTA BOGOR,2015,1050,5,3
47,32,JAWA BARAT,3272,KOTA SUKABUMI,2015,760,3,3
48,32,JAWA BARAT,3273,KOTA BANDUNG,2015,3520,4,3
49,32,JAWA BARAT,3274,KOTA CIREBON,2015,280,4,1
50,32,JAWA BARAT,3275,KOTA BEKASI,2015,3420,3,8
51,32,JAWA BARAT,3276,KOTA DEPOK,2015,2480,2,1
52,32,JAWA BARAT,3277,KOTA CIMAHI,2015,960,2,3
53,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2015,680,2,3
54,32,JAWA BARAT,3279,KOTA BANJAR,2015,320,1,0
55,32,JAWA BARAT,3201,KABUPATEN BOGOR,2016,3477,23,22
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2016,854,5,2
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2016,799,4,3
58,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2016,3466,1,7
59,32,JAWA BARAT,3205,KABUPATEN GARUT,2016,561,1,1
60,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2016,478,2,1
61,32,JAWA BARAT,3207,KABUPATEN CIAMIS,2016,748,0,0
62,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,2016,1720,6,7
63,32,JAWA BARAT,3209,KABUPATEN CIREBON,2016,1877,11,8
64,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,2016,322,2,2
65,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,2016,944,1,3
66,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,2016,911,15,20
67,32,JAWA BARAT,3213,KABUPATEN SUBANG,2016,699,4,3
68,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,2016,772,1,0
69,32,JAWA BARAT,3215,KABUPATEN KARAWANG,2016,1059,2,6
70,32,JAWA BARAT,3216,KABUPATEN BEKASI,2016,1802,6,12
71,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,2016,1545,1,2
72,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,2016,137,0,1
73,32,JAWA BARAT,3271,KOTA BOGOR,2016,1229,5,6
74,32,JAWA BARAT,3272,KOTA SUKABUMI,2016,844,2,3
75,32,JAWA BARAT,3273,KOTA BANDUNG,2016,3881,1,6
76,32,JAWA BARAT,3274,KOTA CIREBON,2016,310,2,0
77,32,JAWA BARAT,3275,KOTA BEKASI,2016,3813,22,28
78,32,JAWA BARAT,3276,KOTA DEPOK,2016,2827,3,4
79,32,JAWA BARAT,3277,KOTA CIMAHI,2016,1080,1,2
80,32,JAWA BARAT,3278,KOTA TASIKMALAYA,2016,754,0,5
81,32,JAWA BARAT,3279,KOTA BANJAR,2016,370,0,2
82,32,JAWA BARAT,3201,KABUPATEN BOGOR,2017,277,0,1
83,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2017,256,0,0
84,32,JAWA BARAT,3203,KABUPATEN CIANJUR,2017,0,0,0
